09:01:52.697 -> === /flight_11.csv (14568 bytes) ===
09:01:52.697 -> t_ms,alt_m,vel_ms,accel_G,pitch_deg,roll_deg,yaw_deg,temp_C,pressure_hPa,phase
09:01:52.697 -> 4347,0.0,0.0,0.84,-10.4,76.1,0.0,28.9,1016.7,0
09:01:52.697 -> 4452,0.6,2.0,0.85,-5.3,78.5,0.0,28.9,1016.6,0
09:01:52.697 -> 4557,1.0,2.9,0.90,-16.9,70.4,0.0,28.9,1016.6,0
09:01:52.697 -> 4663,1.5,3.4,1.01,-12.2,80.5,0.0,28.9,1016.6,0
09:01:52.732 -> 4768,1.8,3.3,1.45,-6.3,83.4,0.0,28.9,1016.5,0
09:01:52.732 -> 4872,2.0,3.3,1.63,-0.2,84.7,0.0,28.9,1016.5,0
09:01:52.732 -> 4978,2.4,3.2,0.15,-10.8,76.6,0.0,28.9,1016.5,0
09:01:52.732 -> 5079,2.6,3.2,0.25,26.7,116.2,0.0,28.9,1016.4,3
09:01:52.732 -> 5180,2.9,3.1,0.90,-3.7,112.6,0.0,28.9,1016.4,3
09:01:52.732 -> 5282,3.2,3.0,0.98,0.1,103.1,0.0,28.9,1016.4,3
09:01:52.732 -> 5439,3.5,2.8,0.99,-1.0,100.4,0.0,28.9,1016.3,3
09:01:52.766 -> 5540,3.7,2.6,0.99,-1.2,100.0,0.0,28.9,1016.3,3
09:01:52.766 -> 5642,3.9,2.4,0.99,-0.8,100.3,0.0,28.9,1016.3,3
09:01:52.766 -> 5744,4.1,2.3,0.99,-1.1,100.3,0.0,28.9,1016.3,3
09:01:52.766 -> 5845,4.3,2.2,0.99,-1.1,100.1,0.0,28.9,1016.3,3
09:01:52.766 -> 5946,4.5,2.2,0.99,-1.0,100.4,0.0,28.9,1016.2,3
09:01:52.766 -> 6047,4.6,2.0,0.99,-0.9,100.4,0.0,28.9,1016.2,3
09:01:52.766 -> 6149,4.8,2.0,0.99,-1.1,100.2,0.0,28.9,1016.2,3
09:01:52.800 -> 6251,5.0,1.9,0.99,-1.1,100.2,0.0,28.9,1016.2,3
09:01:52.800 -> 6492,5.3,1.7,0.99,-1.0,100.3,0.0,28.9,1016.1,3
09:01:52.800 -> 6593,5.4,1.6,0.99,-0.9,100.3,0.0,28.9,1016.1,3
09:01:52.800 -> 6694,5.6,1.6,0.99,-1.1,99.7,0.0,28.9,1016.1,3
09:01:52.800 -> 6796,5.7,1.5,0.99,-1.0,100.0,0.0,28.9,1016.1,3
09:01:52.833 -> 6897,5.9,1.5,0.99,-1.1,100.1,0.0,28.9,1016.1,3
